"","CodeClass","Name","Accession"
"CAP1","Endogenous","CAP1","NM_001105530.1"
"RB1CC1","Endogenous","RB1CC1","NM_001083617.1"
"HCST","Endogenous","HCST","NM_001007469.1"
"RAB7A","Endogenous","RAB7A","NM_004637.5"
"BNIP3","Endogenous","BNIP3","NM_004052.2"
"CCL28","Endogenous","CCL28","NM_148672.2"
"BCL6","Endogenous","BCL6","NM_001134738.1"
"CD209","Endogenous","CD209","NM_001144899.1"
"MEFV","Endogenous","MEFV","NM_000243.2"
"CXCL6","Endogenous","CXCL6","NM_002993.3"
"ULK1","Endogenous","ULK1","NM_003565.1"
"VAMP3","Endogenous","VAMP3","NM_004781.4"
"AGT","Endogenous","AGT","NM_000029.3"
"FPR1","Endogenous","FPR1","NM_002029.3"
"TOLLIP","Endogenous","TOLLIP","NM_019009.2"
"CD2","Endogenous","CD2","NM_001767.3"
"IL37","Endogenous","IL37","NM_014439.3"
"CTSS","Endogenous","CTSS","NM_004079.3"
"MAPK8","Endogenous","MAPK8","NM_002750.2"
"TRIM5","Endogenous","TRIM5","NM_033092.2"
"ACVR1","Endogenous","ACVR1","NM_001105.2"
"ISG15","Endogenous","ISG15","NM_005101.3"
"IFNA5","Endogenous","IFNA5","NM_002169.2"
"NKG7","Endogenous","NKG7","NM_005601.3"
"CCL5","Endogenous","CCL5","NM_002985.2"
"AHR","Endogenous","AHR","NM_001621.4"
"IL17D","Endogenous","IL17D","NM_138284.1"
"IL36G","Endogenous","IL36G","NM_019618.3"
"CCL8","Endogenous","CCL8","NM_005623.2"
"IL22RA1","Endogenous","IL22RA1","NM_021258.3"
"CCL1","Endogenous","CCL1","NM_002981.2"
"MAP3K3","Endogenous","MAP3K3","NM_002401.3"
"CYSTM1","Endogenous","CYSTM1","NM_032412.4"
"XAF1","Endogenous","XAF1","NM_199139.2"
"NOX1","Endogenous","NOX1","NM_007052.4"
"PSAP","Endogenous","PSAP","NM_001042465.2"
"CD22","Endogenous","CD22","NM_001771.2"
"LTB","Endogenous","LTB","NM_002341.1"
"IFNA4/7/10/17/21","Endogenous","IFNA4/7/10/17/21","NM_021268.2"
"SMAD5","Endogenous","SMAD5","NM_005903.5"
"RBPJ","Endogenous","RBPJ","NM_015874.3"
"GADD45B","Endogenous","GADD45B","NM_015675.2"
"AKT1","Endogenous","AKT1","NM_001014432.1"
"HK3","Endogenous","HK3","NM_002115.1"
"DEFA4","Endogenous","DEFA4","NM_001925.1"
"SELE","Endogenous","SELE","NM_000450.2"
"CCL18","Endogenous","CCL18","NM_002988.3"
"STAT2","Endogenous","STAT2","NM_005419.3"
"IRF4","Endogenous","IRF4","NM_001195286.1"
"PFKFB3","Endogenous","PFKFB3","NM_004566.3"
"F5","Endogenous","F5","NM_000130.2"
"APP","Endogenous","APP","NM_000484.3"
"PLAT","Endogenous","PLAT","NM_000930.3"
"HLA-DQB1","Endogenous","HLA-DQB1","NM_002123.3"
"IL5RA","Endogenous","IL5RA","NM_000564.4"
"FCRL2","Endogenous","FCRL2","NM_001159488.1"
"RPS6KA1","Endogenous","RPS6KA1","NM_002953.3"
"CXCL17","Endogenous","CXCL17","NM_198477.3"
"CASP10","Endogenous","CASP10","NM_001206524.1"
"ETS1","Endogenous","ETS1","NM_005238.3"
"TLR4","Endogenous","TLR4","NM_003266.3"
"IFNL1","Endogenous","IFNL1","NM_172140.1"
"IL2","Endogenous","IL2","NM_000586.2"
"CD247","Endogenous","CD247","NM_198053.2"
"IL27RA","Endogenous","IL27RA","NM_004843.3"
"IL26","Endogenous","IL26","NM_018402.1"
"STAT5B","Endogenous","STAT5B","NM_012448.3"
"LIMK2","Endogenous","LIMK2","NM_001031801.1"
"IL7","Endogenous","IL7","NM_001199886.1"
"NCR1","Endogenous","NCR1","NM_004829.5"
"TYROBP","Endogenous","TYROBP","NM_003332.3"
"CXCR1","Endogenous","CXCR1","NM_000634.2"
"IL1RL1","Endogenous","IL1RL1","NM_016232.4"
"TRIM33","Endogenous","TRIM33","NM_015906.3"
"LCP2","Endogenous","LCP2","NM_005565.4"
"LITAF","Endogenous","LITAF","NM_004862.3"
"RPS6KB1","Endogenous","RPS6KB1","NM_003161.2"
"CD276","Endogenous","CD276","NM_001024736.1"
"PAK1","Endogenous","PAK1","NM_002576.5"
"HLA-DPA1","Endogenous","HLA-DPA1","NM_033554.3"
"CCL20","Endogenous","CCL20","NM_001130046.1"
"KIR2DL3","Endogenous","KIR2DL3","NM_014511.3"
"SYK","Endogenous","SYK","NM_003177.5"
"CD3E","Endogenous","CD3E","NM_000733.3"
"IFNA6","Endogenous","IFNA6","NM_021002.2"
"NGLY1","Endogenous","NGLY1","NM_001145293.1"
"IFNL2/3","Endogenous","IFNL2/3","NM_172139.2"
"PTGER4","Endogenous","PTGER4","NM_000958.2"
"CD79A","Endogenous","CD79A","NM_001783.3"
"GBP5","Endogenous","GBP5","NM_052942.3"
"PECAM1","Endogenous","PECAM1","NM_000442.3"
"PSMB9","Endogenous","PSMB9","NM_002800.4"
"IL3RA","Endogenous","IL3RA","NM_002183.2"
"CCR5","Endogenous","CCR5","NM_000579.3"
"IL36B","Endogenous","IL36B","NM_014438.5"
"CXCL2","Endogenous","CXCL2","NM_002089.4"
"TXNIP","Endogenous","TXNIP","NM_006472.4"
"CXCR3","Endogenous","CXCR3","NM_001504.1"
"RUNX3","Endogenous","RUNX3","NM_001031680.2"
"SP1","Endogenous","SP1","NM_138473.2"
"ALPL","Endogenous","ALPL","NM_000478.4"
"IL12RB2","Endogenous","IL12RB2","NM_001559.2"
"HSP90AA1","Endogenous","HSP90AA1","NM_001017963.2"
"TCF7","Endogenous","TCF7","NM_201633.2"
"CCR2","Endogenous","CCR2","NM_001123041.2"
"AP1G1","Endogenous","AP1G1","NM_001030007.1"
"DNAJA2","Endogenous","DNAJA2","NM_005880.3"
"MAP3K8","Endogenous","MAP3K8","NM_001244134.1"
"NCF4","Endogenous","NCF4","NM_000631.4"
"CTSW","Endogenous","CTSW","NM_001335.3"
"IL20RA","Endogenous","IL20RA","NM_014432.2"
"IFI16","Endogenous","IFI16","NM_001206567.1"
"IL36RN","Endogenous","IL36RN","NM_012275.3"
"SOCS1","Endogenous","SOCS1","NM_003745.1"
"NLRC4","Endogenous","NLRC4","NM_001199138.1"
"CCL16","Endogenous","CCL16","NM_004590.3"
"UBA52","Endogenous","UBA52","NM_003333.3"
"XCL1/2","Endogenous","XCL1/2","NM_002995.2"
"RGMA","Endogenous","RGMA","NM_001166283.1"
"CXCL1","Endogenous","CXCL1","NM_001511.3"
"BPI","Endogenous","BPI","NM_001725.2"
"AKT2","Endogenous","AKT2","NM_001626.4"
"PELI1","Endogenous","PELI1","NM_020651.3"
"IL6R","Endogenous","IL6R","NM_000565.2"
"TNFSF10","Endogenous","TNFSF10","NM_003810.2"
"TRIM25","Endogenous","TRIM25","NM_005082.4"
"RASGRP4","Endogenous","RASGRP4","NM_170604.1"
"TNFRSF18","Endogenous","TNFRSF18","NM_148901.1"
"MGAM","Endogenous","MGAM","XM_011516674.2"
"LAT","Endogenous","LAT","NM_001014987.1"
"IL13RA2","Endogenous","IL13RA2","NM_000640.2"
"IFNK","Endogenous","IFNK","NM_020124.2"
"ALOX5","Endogenous","ALOX5","NM_000698.2"
"PTPRC","Endogenous","PTPRC","NM_080921.3"
"TRAF3","Endogenous","TRAF3","NM_145725.2"
"UBE2N","Endogenous","UBE2N","NM_003348.4"
"IL2RA","Endogenous","IL2RA","NM_000417.2"
"CCL14","Endogenous","CCL14","NM_032963.4"
"IL15RA","Endogenous","IL15RA","NM_002189.3"
"CEACAM3","Endogenous","CEACAM3","NM_001815.3"
"IL13RA1","Endogenous","IL13RA1","NM_001560.2"
"NEU1","Endogenous","NEU1","NM_000434.4"
"IL1F10","Endogenous","IL1F10","NM_032556.6"
"CTSG","Endogenous","CTSG","NM_001911.2"
"IFIH1","Endogenous","IFIH1","NM_022168.3"
"EVL","Endogenous","EVL","NM_016337.2"
"HLA-DRA","Endogenous","HLA-DRA","NM_019111.3"
"CD70","Endogenous","CD70","NM_001252.2"
"EIF2AK2","Endogenous","EIF2AK2","NM_002759.1"
"IL1R2","Endogenous","IL1R2","NM_173343.1"
"HMGB1","Endogenous","HMGB1","NM_002128.4"
"IFNA2","Endogenous","IFNA2","NM_000605.3"
"TRIM6","Endogenous","TRIM6","NM_058166.4"
"HDC","Endogenous","HDC","NM_002112.3"
"IL1RAP","Endogenous","IL1RAP","NM_002182.2"
"RIPK2","Endogenous","RIPK2","NM_003821.5"
"PDHB","Endogenous","PDHB","NM_000925.3"
"OSM","Endogenous","OSM","NM_020530.6"
"PIK3R6","Endogenous","PIK3R6","NM_001010855.3"
"KIR2DL1","Endogenous","KIR2DL1","NM_014218.2"
"CD69","Endogenous","CD69","NM_001781.1"
"SELENOS","Endogenous","SELENOS","NM_203472.1"
