"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"IFNL1",-0.00912048516976677,0.95910373109661,0.977414061998502,-0.0304948658085915,0.842971821407816,0.886554038024818,-0.0299716589474442,0.821382788479016,0.878186577447136,-0.108770146696492,0.455076322611051,0.676488456496813
"IL2",-0.198182998296978,0.0961059264873236,0.209267270914651,-0.142138440439948,0.251671617366889,0.409894726158173,-0.132860808081502,0.229146233262741,0.348681177779722,-0.292507029528943,0.00791192240255349,0.0650629363529133
"CD247",0.118102901382042,0.117137243365685,0.235799711254361,0.19206981242899,0.0089997255197898,0.0457683409657731,0.151067685159783,0.0280912288431465,0.06871683511314,0.265082219197504,0.000201794535300712,0.00688055855668361
"IL27RA",-0.00351495834598233,0.953384519085579,0.974823059858667,0.0620666266988499,0.271865670876116,0.4271385438765,0.210201052696615,0.00116668496963098,0.00546574231227118,0.127280427233759,0.0105241000822065,0.0734412709390615
"IL26",-0.163162057600397,0.21304278873601,0.357131006547301,-0.0928583085887077,0.511702239892292,0.65814614215764,-0.246408287686213,0.0428750526959708,0.0955112845359812,-0.196272031202313,0.0824229693895668,0.256040152281748
"STAT5B",-0.14858845179074,0.014603502236715,0.0556084099949789,-0.122056228253898,0.0669586129692652,0.17253002608414,-0.234857843569354,0.00174806321945387,0.00742446631119692,-0.0270119913443849,0.643966111722631,0.813375497322866
"LIMK2",-0.0529731241972633,0.560581545144926,0.706899729848332,-0.0479837217395182,0.6483401692338,0.76378396366904,-0.127567393485603,0.190473474866251,0.304206603453744,-0.0753435598833522,0.36466668036288,0.6010391128369
"IL7",-0.0106336832389688,0.899581120680887,0.949967494926674,0.0352557184148087,0.694153672978618,0.788102596736659,0.118270305953042,0.135527797893345,0.235472474572431,0.0657005867474428,0.369595773349093,0.604783219495265
"NCR1",-0.0680474210495706,0.367119511647752,0.516909622046834,-0.0169627584573368,0.816363209054164,0.869093313652663,-0.0805204736344657,0.257775817978736,0.380268525377028,-0.019589617533236,0.820038346157219,0.918726771371437
"TYROBP",0.00692220030037742,0.917209805041609,0.95908476663109,0.0843101019867707,0.200264415915524,0.360010217448139,0.120011121282767,0.159374013872963,0.26380323923726,-0.0955375058529324,0.190520147063474,0.414950132139715
"CXCR1",0.264248726762257,0.0180377738876391,0.0652601387664779,0.131237425834175,0.30796002213333,0.467234311825821,0.438907455901397,0.000258988537017077,0.00169659439927289,0.256890915651015,0.0182086298039244,0.0951546579632247
"IL1RL1",-0.0646129932793645,0.606189597153733,0.743474669356044,-0.189909953788699,0.173267169041244,0.325086217642917,-0.448704553879008,0.00249405049789681,0.00993763420038267,-0.107148963456144,0.429218129802488,0.654409495734365
"TRIM33",-0.175591269425284,4.62233656268434e-06,0.000238204410863666,-0.225576538071946,1.49397335904111e-07,1.28315711837642e-05,-0.221196286803246,7.94235642130961e-06,0.000120381206150438,-0.124908625982062,0.00453056463247243,0.0432361291469282
"LCP2",-0.103708041698985,0.029013229894765,0.0904323657606989,-0.0516919229464979,0.390235099290202,0.552475699178253,-0.144073278508143,0.0153399314544654,0.0421984591256291,-0.0629452067594353,0.0641675269943106,0.219381954313695
"LITAF",0.0219494700259491,0.782868764612512,0.878312852025358,0.0607466337818564,0.464003073548516,0.615455124608211,0.153196867622922,0.0629172562294649,0.13004021140475,0.0498186598005181,0.537376310887888,0.735386461941731
"RPS6KB1",-0.00997840158904362,0.871712389940356,0.935390662477765,-0.00764366873293074,0.893105495963255,0.925044237835768,0.115885001033168,0.0381217889264671,0.0877028060719019,0.00542561106875194,0.913617746959346,0.964790325682479
"CD276",-0.0869680052867961,0.43713301761671,0.591775521221921,-0.131481704108119,0.306460042145502,0.466326009012743,-0.0934798162394922,0.335454503683507,0.454126674864012,-0.138090147255416,0.187843893127599,0.413684699110069
"PAK1",-0.0929493679812453,0.135214830455055,0.263277239148004,-0.137770623772429,0.057518158027447,0.158135219998267,-0.0141824303345706,0.826294256180803,0.879787135024464,-0.0051464267107908,0.928419858087569,0.970994060923105
"HLA.DPA1",0.0887117203120289,0.182762892449078,0.324026871245727,0.146449296855642,0.0519623177845945,0.148217238551629,0.143804961978198,0.104530680366164,0.192845384064546,-0.043654310440846,0.53542330024207,0.735231178564427
"CCL20",0.211169192406392,0.243250166736844,0.385312251818813,0.586847105478779,0.00265843354871677,0.0194761466304666,0.261337473459254,0.179514101965503,0.290302093764297,0.155237460900734,0.425635762422636,0.65109824495943
"KIR2DL3",-0.102662221255485,0.355509827429689,0.507965058416173,-0.125925949588375,0.285700904862659,0.440811974967736,-0.144891837508115,0.218010299950274,0.335033721394755,-0.0681169187669394,0.602657137896352,0.785278951168097
"SYK",-0.281036218184449,3.82008445397022e-06,0.000210923234494213,-0.290696355186755,9.13374153899148e-06,0.000371599063665285,-0.370162762909123,1.70017836892089e-06,3.65066077548847e-05,-0.149409287604303,0.00983174799987065,0.0716975585273586
"CD3E",0.0275169858780764,0.726659590423351,0.842140724733509,0.0735125779574129,0.357159985881092,0.515083337847172,0.10758103006902,0.20605820386842,0.321783821394523,0.185592249610616,0.0268366559277357,0.124968283326143
"IFNA6",-0.462575658600938,0.000141973592082784,0.00249421787909073,-0.477859751617801,0.00112633782997251,0.00967399047298612,-0.525149346966873,0.000397309430771843,0.00234532539449619,-0.636826148196834,2.18646663018252e-07,5.63379568377029e-05
"NGLY1",-0.0728592695401115,0.0366513067389521,0.106231545803887,-0.101336292907712,0.00490903268030248,0.0294161415649133,-0.0245536717869565,0.543980740688291,0.654979926093534,-0.000623479945626256,0.987583140456276,0.992720113878675
"IFNL2.3",0.0289182235743268,0.837880091718292,0.91869689489112,-0.0917265237543803,0.657448498276034,0.764240469180686,-0.0861110538795822,0.541901545615416,0.653494375601743,-0.0231025930384936,0.854960837712887,0.931749926150249
"PTGER4",0.0325451308333153,0.578272744405698,0.722352629404799,0.115267033212324,0.0997766527667903,0.226149871397684,0.232125502452784,0.00120337389535737,0.00557010791084578,0.0553975097037978,0.410686935012454,0.645487584297776
"CD79A",0.270722062545466,0.0200776377423932,0.0695964752236321,0.268942927879955,0.0441010917333349,0.135806846779583,0.338427272883726,0.00427379153729301,0.0148145329969843,0.142399824455513,0.235783733838409,0.472178306365519
"GBP5",-0.283879607841131,0.0331448455197238,0.0996924731001808,-0.349863638274942,0.0358603030670347,0.118461599447939,-0.174425536480108,0.236181756091561,0.354501936813159,-0.224229329328757,0.0810046076874392,0.256040152281748
"PECAM1",-0.232692663145069,8.94647374992321e-05,0.00173366956720801,-0.299662316151707,6.46533873732118e-06,0.000277650380219404,-0.358620134340717,3.57539899688744e-06,6.42740331300929e-05,-0.152565540438245,0.00944352311466703,0.070879494807636
"PSMB9",-0.0753647356453936,0.326791270693073,0.479335203502363,-0.0897670680281886,0.252541525409813,0.410114704079382,-0.0891517424708805,0.277735624649981,0.398290010959032,-0.0513777103868557,0.533726200828269,0.735231178564427
"IL3RA",-0.114709344314201,0.296404028012454,0.44750061260474,-0.136675231784286,0.26433898509212,0.424101940197402,-0.418765505781816,0.000572953183255548,0.00311896345532774,-0.277786498274903,0.0174207980137677,0.0936394264002565
